tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1644380546511011842,@jaayhao,"This is why I told y'all not to believe any rumours, one is saying jay is PO9 and the other is saying jay ranked 13, it doesn't make sense at all so y'all don't take this seriously and enjoy your weekend, I'm sure Thursday will bring us good news",3,31,"2,541",2023-04-07T16:44:08.000Z
1644456577125044224,@TonyHussein4,"Sean Hannity, Tucker Carlson, and Laura Ingraham lied on Rupert Murdoch's Fox News. Judge Davis wrote, 'The evidence developed in this civil proceeding demonstrates that it is CRYSTAL clear that none of the statements relating to Dominion about the 2020 election are true.'",26,511,"9,411",2023-04-07T21:46:15.000Z
1644388346574278656,@Catjaan1,Great news! SIX more members of Congress have signed on as co-sponsors of the #MAHSAAct! Thank you Representatives! #IranRevoIution @RepSusanWild @Lancegooden @RepLoudermilk @kevinmullin @DonaldNorcross @RepBrianFitz,4,42,"1,295",2023-04-07T17:15:07.000Z
1644400518490406912,@dalbitbangtan,"STATS Jimin Monthly Listeners on Spotify: 13,902,393 (+359,576) — NEW PEAK —",16,751,33.1K,2023-04-07T18:03:29.000Z
1644456289114701825,@YoungBoyNews4KT,Never Broke Again New Merch https://neverbrokeagainllc.com,1,11,"1,154",2023-04-07T21:45:06.000Z
1644402776598880261,@MaisonGhost,"Who's ready to get DIRTY? @garbagefriends Garbage University is opening their doors & enrollment is limited. Also, a new Moonbirds collection is on the horizon, @PapaJohns want's a slice of the web3 world & more in Ghost News Vol 18. Read on & interact for a surprise",117,267,12.2K,2023-04-07T18:12:28.000Z
1644424812012470272,@Hawksandhockey,It’s sadly the time #NHL Details: https://bit.ly/412PX0g,1,5,827,2023-04-07T19:40:01.000Z
1644566935357595649,@SqueaksDCorgeh,"Hello fellow Garten of Banbanfam and supporters, I bring news of a new game on the horizon! Introducing: GAUNTLET OF BANBAN: A 4v1 MULTIPLAYER BANBANXPERIENCE #gartenofbanban (More info in thread)",6,16,"1,022",2023-04-08T05:04:46.000Z
1644337830217539584,@gjsontake,Species in News for UPSC CSE Prelims 2023 Follow @gjsontake #UPSC #Prelims2023,0,82,19K,2023-04-07T13:54:23.000Z
1644528879628066817,@PanjwaniGirishg,Good news for all of you remember the date of 9th April now it is time to Enhance Your Knowledge so take participate in #RishiPrasadQuiz which start by inspiration of Sant Shri Asharamji Bapu so just Download RPGP App Now and register.,1,69,129,2023-04-08T02:33:33.000Z
1644340446355939329,@jangda_ah,The JANG sisters everyone! #JangDaAh #JangWonyoung,0,61,11.6K,2023-04-07T14:04:47.000Z
1644331899303899138,@amitbhatia1509,OMG....what a brilliant start to #Pushpa2TheRule #Pushpa2 This is going to break all the records #AlluArjun #AlluArjun𓃵 @alluarjun,4,739,14.8K,2023-04-07T13:30:49.000Z
1644333880793522176,@News_Dr252,#BoldandBeautiful keeps putting that he’s changed into the character dialogue…how about actually changing him outright…Take him away from Hope and give him his own freakin’ line…,35,16,"4,602",2023-04-07T13:38:42.000Z
1644382991290859522,@rolandsmartin,BREAKING NEWS: @VP @KamalaHarris will travel today to Nashville to meet with the #TennesseeThree. Details to follow. We will cover live on #RolandMartinUnfiltered at 6 pm EST on the @BlkStarNetwork . Download the app; watch on Amazon News or http://Youtube.com/RolandSMartin,66,520,132K,2023-04-07T16:53:50.000Z
1644507439797092352,@Chot4a,#LUNC is going to shock the world.,6,16,"1,397",2023-04-08T01:08:21.000Z
1644324429533712385,@canthavepudding,Another Sky news Ukraine war big screen report.,1,15,"2,404",2023-04-07T13:01:08.000Z
1644363738747641858,@VeganCareBear88,I am so devastated by the news of Paul Cattermole (46 years old) Grew up loving @SClub7 and still do now He was looking forward doing the reunion tour .... My thoughts are with his loved ones and S Club 7 throughout this hard time R.I.P Paul #Sclub7,7,60,61.4K,2023-04-07T15:37:20.000Z
1644444828267352067,@HoshiRizalPareh,"\"NEWS | #Ricky from Boys Planet has revealed that #DK from #Seventeen is actually the one who inspired him to join Boys Planet. \"\"He is a very talented idol and I want to be like him someday\"\"\"",5,47,"3,382",2023-04-07T20:59:34.000Z
1644341951968464897,@thehawkeyex,This handle is another in block of fake news machinery nowadays. The girls denied entry claimed that there is no dress code mentioned in adm-card. The guy who made this video played trick & captured adm-card where photo identity match & dress code are clearly mentioned.,19,744,66.8K,2023-04-07T14:10:46.000Z
1644356086701654017,@twice_mixx,1.3 MILLION APPLICATIONS Next news : Japan is officially considering building a 1M capacity stadium https://twitter.com/readytobetour/status/1644351425894400000…,15,244,34.9K,2023-04-07T15:06:56.000Z
None,user,text,0,0,0,0
1644510406722072576,@cloooooovers,"Manifesting for more YounJae sightings, casting news, endorsements, updates, and award nominations! #LeeJaeWook #GoYounJung #YounJae",0,8,"1,293",2023-04-08T01:20:09.000Z
1644545811378733057,@idvclue,"\"[Main Story Update Announcement] \"\"I hope you also have the courage to face the nightmare.\"\" New survivor Journalist (Alice DeRoss)","who is the alternate identity of \"\"Little Girl\"\" in the IDENTITY Switch System","will be released with Ashes of Memory Part 1 on April 20!\"",2,21
1644387748525080576,@helen_41784_10,And you are the best news that God will fill the world from its enthusiasm #ThePromisedSaviour,10,18,"1,272",2023-04-07T17:12:45.000Z
1644383653097787397,@HYHussein7,Plugging this out for those that want to get into the character after the news,3,13,"3,636",2023-04-07T16:56:28.000Z
1644477108800954368,@bulIofbnb,Not a single red daily close. Team is dropping news on daily basis. What an outstanding launch. Proud to be a $GPT holder and congrats if you bought and held with me like Chads #GPT,3,109,524,2023-04-07T23:07:50.000Z
1644487216167628800,@vinescabin,IM CRYING SAMMI LITERALLY TAGGED IT #crusty KEHRIWBJW,0,2,104,2023-04-07T23:48:00.000Z
1644358019617284096,@TheGentYYC,Literally nobody has done more to create an America that hates itself more than anybody else than than @newtgingrich . Like getting endorsed by the Klan. What further evidence could you ever need that #Poilievre is bad news and bad for Canada #cdnpoli,9,62,"2,595",2023-04-07T15:14:37.000Z
1644486773366575104,@TayluhSwiff13,The way she mocked what news outlets say she was so iconic for this,0,2,367,2023-04-07T23:46:14.000Z
1644405679703339008,@thomasmerchnews,Photos of the Minis Advent Calendar for 2023 have been found! Here also are all the exclusive christmas minis!,2,17,"2,122",2023-04-07T18:24:00.000Z
1644388366111080451,@SaraTheSurvivor,This internship promoted awareness regarding developmental projects and all news KPK in specific and Pakistan in general. #JusticeForKPInterns,3,122,"1,419",2023-04-07T17:15:12.000Z
